city,city_ascii,state_id,state_name,county_name,lat,lng
Columbus Grove,Columbus Grove,OH,Ohio,Putnam,40.9205,-84.0598
Oakland,Oakland,IA,Iowa,Pottawattamie,41.3115,-95.3951
Industry,Industry,PA,Pennsylvania,Beaver,40.6595,-80.4115
Mannington,Mannington,WV,West Virginia,Marion,39.5274,-80.3409
Henderson,Henderson,LA,Louisiana,St. Martin,30.3184,-91.8065
Bon Aqua Junction,Bon Aqua Junction,TN,Tennessee,Hickman,35.9281,-87.3124
Lluveras,Lluveras,PR,Puerto Rico,Sabana Grande,18.038,-66.9037
Oberlin,Oberlin,LA,Louisiana,Allen,30.6069,-92.7724
Lovelock,Lovelock,NV,Nevada,Pershing,40.1787,-118.4775
Akron,Akron,CO,Colorado,Washington,40.1635,-103.2202
Mapleton,Mapleton,MN,Minnesota,Blue Earth,43.9266,-93.9546
Ashland,Ashland,AL,Alabama,Clay,33.2703,-85.8337
Hatch,Hatch,NM,New Mexico,Doña Ana,32.6663,-107.1644
Towanda,Towanda,KS,Kansas,Butler,37.7954,-96.9963
Stanton,Stanton,NE,Nebraska,Stanton,41.9471,-97.2171
Zilwaukee,Zilwaukee,MI,Michigan,Saginaw,43.4809,-83.9223
Elkland,Elkland,PA,Pennsylvania,Tioga,41.989,-77.314
Shannon,Shannon,GA,Georgia,Floyd,34.3406,-85.0854
Monson Center,Monson Center,MA,Massachusetts,Hampden,42.099,-72.3048
Versailles,Versailles,IN,Indiana,Ripley,39.0634,-85.2566
Osgood,Osgood,IN,Indiana,Ripley,39.1286,-85.2929
Westville,Westville,OK,Oklahoma,Adair,35.991,-94.5751
Wilder,Wilder,ID,Idaho,Canyon,43.6782,-116.907
Cedar Bluff,Cedar Bluff,AL,Alabama,Cherokee,34.2217,-85.5882
St. Regis Park,St. Regis Park,KY,Kentucky,Jefferson,38.2289,-85.6158
